Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Fire Song	2015	drama	Adam Garnet Jones	Jennifer Podemski, Derek Miller	The film stars Andrew Martin as Shane, a bisexual aboriginal teenager. When his sister, Destiny, commits suicide just weeks before he is scheduled to leave his community to attend university, he is forced to wrestle with the decision of whether to follow his dreams or stay home to help support his family.[4]	Canadian
P and JK	2017	drama	Ryūichi Hiroki	Kazuya Kamenashi, Tao Tsuchiya, Mahiro Takasugi, Tina Tamashiro, Daigo Nishihata, Noriko Eguchi	The story revolves around Kako Motoya, a first-year high school student, and Kota Sagano, a police man. The two meet at a mixer and begin to fall for each other until Kota realizes Kako is a high schooler. Nonetheless, the two marry in secret; the story follows their bizarre marriage and the troubles that occur.	Japanese
Inconceivable	2017	drama	Jonathan Baker	Jonathan Baker (director); Chloe King (screenplay); Nicolas Cage, Faye Dunaway, Gina Gershon, Natalie Eva Marie	"While holding a crying baby, a woman fights with and kills a man, presumably her husband. Four years later, Angela (Gina Gershon) and Brian (Nicolas Cage) have a four-year-old daughter named Cora. The three are a happy, close family. Both are doctors, though Angela is on leave to be a full-time mom. A friend of Angela's, Linda, introduces Angela to Katie. Katie's four-year-old daughter Maddie hits it off with Cora. Katie says she left an abusive husband but does not elaborate. She also refuses to have her photo taken. Brian's mother, Donna, (Faye Dunaway) dislikes Katie from the start and questions her background, sensing something is off about her.
Angela confides to Katie she had trouble conceiving so she used an egg donor for Cora and is now pregnant again. Devastated after a miscarriage, she invites Katie to move into the guest house and be a part-time nanny while she recovers. One night, knowing Brian is watching, Katie steps naked into the pool. Brian becomes uncomfortable and leaves. Angela returns to work at the hospital part-time to give her more of a purpose, and Katie watches Cora.
Katie uses her free time in the house to go snoop through Angela and Brian's belongings, envious of their family. Angela comes home after work one day and catches Katie having sex in the guest house with whom she thinks is Brian, but is actually a woman (later revealed to be Linda). After the initial embarrassment, Angela relaxes somewhat and trusts Katie more, not believing she would ever have any interest in Brian. Linda excitedly tells Katie that Angela is going to ask Linda to be their surrogate, but Katie can barely hide how it upsets her.
Apparently Angela has one embryo left from the same donor that Cora was conceived from, and she wants to use that so the two can be full siblings. Katie confides to Linda that she is the donor, and that her daughter Maddie was also hers but born from a mother in Maine. Katie abducted Maddie as a baby because ""the mother didn't take care of her"" and now she worries that Cora is not getting enough attention either and wants to take her. She drowns Linda in a lake, and a couple later finds her body.
Four months later, Katie is carrying Angela and Brian's baby (and unknown to them, her own baby). Donna asks Angela what Katie get out of it. Angela says Katie will be paid forty thousand dollars and that she does not expect anything else. It is revealed in a flashback that Katie, whose real name is Tara, can no longer have her own children. As Katie's behavior gets stranger and more delusional – Angela catches Katie lying to a mother in a park about both girls being her twin daughters – Angela becomes more suspicious. Brian says everything will be fine when the baby comes, after which Katie will move on with her life.
A couple months later, Angela and Brian tell Katie they are getting a full-time nanny, and Katie angrily accuses them of wanting a complete stranger to raise their child. Brian defends her and says she just has different beliefs than them. It becomes clear that Angela and Brian are not as happy any more. Angela suspects Katie is planning to keep the baby and disappear, and accuses her of killing Linda because she wanted it for herself. Katie fakes early labor pains. Brian is furious with Angela and thinks she is taking meds and losing her mind.
The next morning, while Brian is at work, and Katie is sleeping in the girl's bed in the main house, Angela sneaks into the guest house to snoop and discovers Katie's secrets, confirming that she is mentally ill and she was a previous donor. Angela gets a DNA test for the girls but realizes that Katie has drugged her and rushes home, where she confronts Katie. Katie admits everything and stabs herself in the stomach, possibly harming the baby. Katie says she will tell everyone that Angela tried to kill her.
Katie is taken to the ER and an emergency C-section takes place. A healthy baby boy named Gabriel is born. But what is later revealed is that the DNA test came back and showed that Maddie and Cora were related to each other and to Katie, meaning Angela had told the truth. It is also revealed that she killed Maddie's parents before abducting her and claiming her as her own. In the end, Katie is locked up and Angela, Brian, Maddie, Cora and baby Gabriel are a happy family."	American
The Wall	2017	drama	Doug Liman	Doug Liman (director); Dwain Worrell (screenplay); Aaron Taylor-Johnson, John Cena	"During the Iraq War, U.S. Army Staff Sergeant Shane Matthews (John Cena) is a sniper who is sent to investigate a pipeline construction site in the desert of the country, with his spotter, Sergeant Allen Isaac (Aaron Taylor-Johnson).
The pair patiently wait 22 hours on overwatch before determining that the site is clear. Matthews proceeds to investigate the site, but is shot by an Iraqi sniper. Isaac tries to rescue the dying Matthews, but he is also wounded in the right knee and has his radio damaged and his water bottle destroyed in the process.
Alone, Isaac takes cover behind an unsteady wall and tends to his wounds. The sniper has a radio tuned into the American channel, and uses it to communicate with Isaac under the pretense of being a high ranking allied soldier at another site. The deception allows the sniper to get other useful information from Isaac. Throughout their various one-sided attempts at conversation, we learn that the sniper does not claim to the mythical Juba mentioned earlier in the film, a nom de guerre for various Al Qaeda snipers notorious for filming their attacks on American soldiers.
Isaac's attempts to call headquarters for help are stymied by the loss of his radio antennae. He attempts to repair this item with one from a dead contractor's radio, only to discern that the sniper had used the earlier response team as a ruse to call for help and lure another response force into his jaws.
Matthews regains consciousness and subtly gets Isaac's attention that he's still alive. Matthews slowly crawls towards his rifle in the midst of the dusty wind along with Isaac distracting Juba with small talk. Matthews believes that the sniper is hiding at the top of a rubble nearby and fires in that direction. The dusty wind settles quickly. The sniper sees Matthews and fires, injuring Matthews in the left shoulder as he crawled towards the wall, but a second shot kills him.
Isaac hears the rescue helicopters coming, so he pushes down the wall and uses Matthews' rifle to try and kill Juba, or at least flush him out so the rescue chopper can see the trap. Juba fires at Issac twice and misses. Issac now has the snipers location and fires his only round. Issac stands up and waits for Juba's next shot, but it never comes. The helicopters land and the rescue team picks up Isaac and Matthews. Once the helicopters dust off, the sniper successfully shoots down both in rapid succession. He is then heard over the radio, calling for another rescue to set a new trap."	American
Novitiate	2017	drama	Maggie Betts	Maggie Betts (director/screenplay); Margaret Qualley, Melissa Leo, Morgan Saylor, Dianna Agron, Julianne Nicholson, Liana Liberato, Denis O'Hare, Maddie Hasson	"This is a story of the effect of Vatican II (1962-65) on the Church, as seen in one convent, through the eyes of the tough old-fashioned Mother Superior, the kinder, younger, and more modern nuns, and the Postulants and Novitiates, particularly Sister Cathleen.
Cathleen Harris was born in Tennessee in the 1950s. Her mother, Nora, a factory worker, is non-religious but wanted to show Cathleen a church and let her make her own decision. Cathleen's father, Chuck, comes home late, drunk, and argues with his wife. Finally, Chuck leaves home, Nora supports herself, and picks up a series of men for one-night stands.
Cathleen says she is looking for love, and finds it in the Catholic church. The Catholic school offers her a full scholarship, where a young nun befriends her and describes how she is married to Christ. After running into another one of her mother's pickups, Cathleen decides to give her life to God.
With 20 other girls, Cathleen joins the Sisters of the Beloved Rose. She will be a postulant for 6 months, after which she will become a novitiate for a year and a half, and then take her final vows.
The Abbess, Reverend Mother Marie Saint-Clair, is a ""tough, old style"" Mother Superior, who trains and disciplines the postulants. She leads the postulants through a meeting called the ""Chapter of Faults,"" in which they must publicly confess to all their faults, including the accusations of the other postulants, for which Mother Superior assigns extreme, humiliating penances, including ""The Discipline,"" a knotted whip that they use to flagellate themselves. She makes arbitrary judgments, reduces the postulants to tears, and sends them home from the convent for trivial infractions.
Sister Mary Grace, a young, warm, kind, and progressive nun, is the Postulant Mistress, who tries to make life easier for them. Most of the day is serious and disciplined, but sometimes the postulants fall into girlish activities and giggling.
Mother Superior keeps getting envelopes from Archbishop McCarthy about Vatican II, which she ignores. Sister Mary Grace sees the documents, and says that change would be good. Mother superior cuts her off with, ""The Church is perfect exactly the way it is."" Later, they argue, and Sister Mary Grace challenges Mother Superior's authority. Sister Mary Grace goes off to pray, and decides to leave the convent.
Finally Archbishop McCarthy pays a visit. He tells Mother Superior that ""this order in particular"" is having difficulty embracing the changes of Vatican II. She dismisses the ""ridiculous reforms."" He tells her that if she can't adopt to the changes, she will be replaced. As for ""that old medieval stuff,"" the extreme penances, ""That's gotta stop.""
Mother Superior is devastated. Her world has changed. She fears God has abandoned her. At the Chapter of Faults, a novice confesses that she questions whether God is real. Mother Superior tells her she's tired of hearing her spiritual wretchedness and assigns her to no penance at all.
Eventually, Mother Superior calls the congregation and reads aloud the Archbishop's memo about Vatican II. Priests will read the Mass in English, and face the congregation. Catholics must embrace religious tolerance. Nuns are no longer required to wear habits, but can wear whatever they want – and their status is now reduced and equal to any Catholic. Extreme punishments and suffering are forbidden. They are not an act of love, or desired by God.
Of the original 20 postulants, only 5 are left to profess their final vows. The priest asks one of the noviates the ritual question, ""What do you seek."" She answers that she wants to take her vows and marry Jesus Christ.
He asks Cathleen. She answers, ""I seek something more.""[3][4][1]"	American
The Last Women Standing	2015	drama	Luo Luo	Shu Qi, Eddie Peng, Pan Hong, Chin Shih-chieh, Xing Jiadong, Hao Lei, Lynn Hung	Adapted from the book of the same name, The Last Woman Standing is a romantic film featuring Shu Qi and Eddie Peng. It tells the story of a successful business woman who has long desired to find love and has finally met the one.	Chinese
Walking with the Enemy	2014	drama	Mark Schmidt	"Jonas Armstrong
Ben Kingsley
Hannah Tointon
Simon Kunz"	"In Budapest, Hungary, head of state Regent Miklós Horthy (Ben Kingsley) was trapped between the Russians on the east and the Nazis from Germany on the west. He was forced to join the Axis in 1941. The first massacre of Hungarian Jews occurred in August that year. After a defeat on the Eastern Front in 1943, Hitler demanded that the regent punish the 800,000 still living in Hungary and insisted that 10,000 Jews be for supplied for slave labor. This is where Walking with the Enemy begins.
When the Nazi presence and anti-Semitic laws increase in Budapest, Jewish radio repair shop owner Jozsef (Simon Kunz) sends home the two young men who work for him, Elek Cohen (Jonas Armstrong) and Ferenc Jacobson (Mark Wells). They obtain forged baptismal certificates from a Catholic priest and urge their families to use them to escape Hungary when they themselves are forced to join the Hungarian labor service, in which Jewish men are brutally treated, shot if they cannot keep up or are injured while doing work.
Meanwhile, Carl Lutz (William Hope) runs the Swiss diplomatic office at the Glass House in Budapest. Supposedly, anyone with a Swiss passport can safely leave Hungary for Switzerland. He was given permission to issue 8,000 passes to individual Jews, but he interpreted this to mean families, and printed and numbered the passes accordingly.
When Elek and Ferenc escape from the labor forces, they find their way back home and discover their families have been sent away. Elek's home has been ransacked, and he finds the baptismal certificates taped to the back of a family photo that he saves. Horthy secretly negotiates with Stalin for Hungary's surrender to the Allies, but the Nazis learn of this, abduct his son, storm the palace and he is overthrown, later to be imprisoned in Germany. In his place the Hungarian fascist Arrow Cross Party assumes power, and led by Ferenc Szálasi their militia help the Nazis rounding up Jews.
On instinct, Elek and Ferenc start to do anything to save Jewish families and eventually begin to work with Lutz. Before the Nazis focused on eliminating the Jews from Hungary, Elek met a Jewish girl named Hannah (Hannah Tointon). One evening some time later, Nazi officers follow her to where many Jews, including Elek, are hiding. Elek kills them before they can rape Hannah. Later, Elek, who speaks fluent German, and Ferenc dig up the bodies of the Nazi officers and take their uniforms. For months, their fearless impersonation of Nazi officers allows them to pretend to round up Jews for transport while saving thousands by redirecting them to safe houses. Once there, in care of the Swiss (and in at least one case, a convent) the Jews begin their journey to freedom.
At its conclusion, the film leaps ahead thirteen years, to 1957. Elek has emigrated to New York City and is shown at the wedding of his adopted son.
This movie was inspired by true events and the movie postscripts read: ""This film was inspired by the courage of Pinchas Rosenbaum whose passports and rescue missions saved thousands of lives. His family was murdered in Auschwitz along with 500,000 Hungarian Jews. SS Lt. Colonel Otto Skorzeny surrendered to the US Army. After trials and reprieves, he died in 1975. Dieter Wisliceny was hanged in 1948 for war crimes. Ferenc Szalasi was hanged in 1946 for war crimes and high treason. Arrow Cross Captain Kovarcz was hanged in 1946 for war crimes. Aldolf Eichman escaped to Argentina and was later captured by Israeli agents. He was convicted for crimes against humanity and hanged in 1962. Regent Horthy and his son were held in German imprisonments until after the war. They never returned to Hungary due to Russian occupation and died in Portugal in 1957 and 1993. Carl Lutz established the Swiss Legion (The Glass House) and is honored for the lives he saved. He died in 1976. After the war, Mr. Rosenbaum seldom spoke of his heroic deeds. He died in 1980 and his wife died in 2010. They are survived by three children. In 2005, [a] memorial of bronzed shoes was dedicated in Budapest to honor the victims murdered during the Nazi and Arrow Cross terror."	American
Legend of the Demon Cat	2017	drama	Chen Kaige	Huang Xuan, Shōta Sometani, Kitty Zhang, Qin Hao, Sandrine Pinna	The story is set in China during the Tang Dynasty (618–907). A demon cat appears and breaks the peace of the capital, Chang’an City, causing a series of strange events. Poet Bai Letian and Monk Kukai join together to investigate the death of Concubine Yang by following the trail left by the cat, unveiling a buried fact.[1]	Chinese
Mother!	2017	drama	Darren Aronofsky	Darren Aronofsky (director/screenplay); Jennifer Lawrence, Javier Bardem, Michelle Pfeiffer, Domhnall Gleeson, Ed Harris, Kristen Wiig	"In a large house recently burned by fire, Him, an acclaimed poet struggling with writer's block, places a crystal object on a pedestal in his study. The ruined house morphs into a lovely home in an edenic landscape. In bed, Mother, the poet's wife and muse, awakens from a fiery nightmare and wonders aloud where Him is. While renovating the house, she starts seeing things that unsettle her, including visualizing a beating heart within its walls.
One day, Man turns up at the house, asking for a room. Him readily agrees, and Mother reluctantly follows suit. During his stay, Man suffers coughing fits and Mother observes an open wound in his side. Soon Man's wife, Woman, also arrives to stay. Mother is increasingly frustrated with her guests, but Him begs her to let them stay, telling Mother they are fans of his work and Man is dying. However, when Man and Woman accidentally shatter the crystal object, which Him had forbidden them to touch, Mother kicks them out and Him boards up his study.
Before Man and Woman can leave, their two sons arrive and fight over their father's will. The Oldest Son, who will be left with nothing, severely wounds his Younger Brother and flees. Him, Man, and Woman take the injured son for help. Alone in the house, Mother follows a trail of blood to find a tank of heating oil hidden behind the basement walls.
Upon returning, Him informs Mother the son has died. Dozens of people arrive at the house to honor the dead son. They behave in rude and presumptuous ways that irritate Mother; she snaps when they break a sink, flooding the house. She orders everyone out and berates Him for allowing so many people inside while ignoring her needs. Their argument ends in passionate lovemaking.
The next morning, Mother announces she is pregnant. The news elates Him and inspires him to finish his work. Mother prepares for the arrival of their child and reads Him's beautiful new poem. Upon publication, it immediately sells out every copy. In celebration, Mother prepares a big dinner, but a group of fans arrives at the house before they can eat. She asks Him to send them away, but he insists he has to be polite and will return soon. Mother tries to lock the doors, but more fans arrive and enter the house to use the toilet. They start stealing things as souvenirs and damaging the house, but Him is oblivious due to the adulation he is receiving. Hundreds of people fill the house and an increasingly disoriented Mother watches it devolve into chaos. Military forces battle a cult of frenzied fans who tear rooms apart and engage in religious rituals. Amidst gunfire and explosions, the Herald, the poet's publicist, organizes mass executions.
Mother goes into labor and finds Him. He takes her to his study, which he reopens so she can give birth there. The havoc outside subsides. Him tells Mother his fans want to see their newborn son; she refuses and holds her boy tightly. When she falls asleep, however, Him takes their child outside to the crowd, which passes the baby around wildly until he is killed. Devastated, Mother wades into the crowd where she sees people eating her son's mutilated corpse. Furious, she calls them murderers and stabs them with a shard of glass. They turn on her, viciously beating and stripping her until Him intervenes. He implores Mother to forgive them, but she escapes, makes her way to the basement oil tank, and punctures it with a pipe wrench. Despite her husband's pleas, she sets the oil alight; it explodes, destroying the crowd, the house, and the surrounding environment.
Mother and Him survive, but she is horrifically burned while Him is completely unscathed. He asks for her love and she agrees. He tears open her chest and removes her heart. As he crushes the heart with his hands, a new crystal object is revealed. He places it on its pedestal and, once again, the house is transformed from a burnt-out shell into a beautiful home. In bed, a new Mother appears and wakes up, wondering aloud where Him is."	American
The Anthem of the Heart	2015	drama	Tatsuyuki Nagai	Inori Minase	"The story revolves around a girl named Jun Naruse, a chatterbox. One day she sees her father come out from one love hotel with another woman and tells her mother, resulting in her parents' divorce. Her father blames her, saddening Jun. While she is crying, a fairy egg appears and seals her words so she won't hurt people again.
When Jun is in high school, as the result of the ""curse"", Jun is unable to speak. Her homeroom teacher, Kazuki Jōshima, signs her up to Charity Committee members along with three other people: Takumi Sakagami, Natsuki Nitō, and Daiki Tasaki. Going to the committee room to properly reject becoming a committee member, Jun hears Takumi singing and is captivated. She then tells Takumi of her past and requests him to turn her words into a song, thinking that the curse won't apply if she's singing.
Jun, Takumi, and Natsuki decide to hold a musical performance, something that Daiki refuses as he mocks Jun for being unable to talk, but Jun proves herself by singing in front of the class. They decide to do a musical based on Jun's experience in the form of a fairy tale. While discussing the musical, Daiki has a falling out with his teammates that is stopped by Jun, who consequently has another stomachache for talking, but this improves her bonds with Takumi, Natsuki, and Daiki. Misunderstanding Takumi's concern for Jun as a sign that he is falling in love with her, Natsuki tells Takumi that she will cheer them on despite her own feelings for Takumi.
The next day, Daiki makes amends with his teammates. As they spend time together preparing for the musical, Jun starts to develop feelings for Takumi, while Daiki starts to develop feelings for Jun. Daiki asks Takumi regarding his relationship with Natsuki, having heard rumours that both of them were dating during middle school, but Takumi denies this since Natsuki had told her classmates then that they were not dating when she was asked. At the night before the musical, Takumi asks Natsuki about the boy she's dating currently, leading Natsuki to finally reveal that the boy she's referring to is none other than Takumi himself, before she accuses him of falling in love with Jun. Takumi reveals that while he is concerned about Jun, he is not in love with her and he has always regretted not trying to convey his feelings for Natsuki during middle school even when he was aware of her feelings for him at that time. Unbeknownst to them, Jun overhears their conversation. Heartbroken, she runs away and meets the fairy egg, who reveals that she has worsened the curse by trying to convey her feelings for Takumi. Jun doesn't show up on the day of the musical, leaving Natsuki to fill her role while Takumi frantically goes searching for her.
Takumi finds Jun at the love hotel that has been shut down. To his surprise, she is able to talk normally. Jun angrily lashes out at Takumi as he tells her that the reason she is unable to convey her words is not because of the fairy egg's curse but because of Jun's own fear. Wanting to hear her voice once more, Takumi allows Jun to lash out all of her anger and frustration until she is satisfied. Jun confesses her feelings for Takumi, but it is revealed that Takumi is still in love with Natsuki, to which Jun replies that she knew. Takumi then expresses his gratitude for Jun because before he met her, he was unable to say what he truly felt properly and only went along with everyone else. This convinces Jun to perform in the musical. Jun and Takumi arrives just in time before the final scene, allowing Jun to sing and convey her feelings to her mother who finally understands what she had been through. As the musical ends, Jun realises that the fairy egg was actually nothing but an imagination that she created to have someone she could blame for her condition, and now she decides to open up her heart, coming to terms with her past.
As the movie ends, Takumi and Natsuki reconciles their relationship, while Daiki finally confesses his feelings to Jun."	Japanese
Million Dollar Arm	2014	drama	Craig Gillespie	"Jon Hamm
Aasif Mandvi
Madhur Mittal
Lake Bell"	"J. B. Bernstein is a big-time sports agent who, along with his partner Ash Vasudevan, recently formed their own company. Unfortunately, all of J. B.'s clients have retired, and he is unable to reel in star football player Popo Vanuatu. Desperate to find new clients, J. B. realizes India, with over one billion people, has real potential for untapped baseball talent. He approaches investor Mr. Chang with his proposal—a talent contest staged in India called ""Million Dollar Arm."" Contestants score points by demonstrating they can pitch a baseball with speed and accuracy. Along with the prize money, two winners will be flown to the U.S. and receive coaching to become legitimate baseball prospects within two years. Chang commits to providing the funding, on the condition the prospects are ready within only one year. With no alternative, J. B. reluctantly assures Chang the winners will be ready for a major-league try-out within one year.
J. B. approaches veteran baseball pitching coach Tom House who explains that cricket, the main sport played in India, and baseball have entirely different motions for bowling and pitching, and getting a fresh recruit ready for a try-out within one year is extremely unlikely, if not impossible. J. B. points how House has nothing to lose and everything to gain by taking up the challenge, and House agrees.
While Ash is holding down the fort in Los Angeles, J. B. flies to India. He is bewildered by the traffic, the overcrowding, and the lax way Indians conduct business. He is joined by the curmudgeonly Ray Poitevint, a longtime major league scout, and hires Amit Rohan as his interpreter. After lengthy try-outs in numerous cities, two youngsters emerge as the winners — Rinku Singh and Dinesh Patel, and they are flown to the U.S. to begin their baseball training. The pair, who grew up in poverty in India and do not speak or understand English, are instantly overwhelmed by the sights and sounds of America. Things soon come to a crunch when they are detained by hotel security for messing with elevator emergency controls, inadvertently getting themselves stuck and setting off the fire alarm. J. B. is subsequently forced to invite them to stay at his home. For their baseball training, J. B. dumps the pair by House and his staff while he runs off to close more deals. In being treated so, the pair feels like social outcasts. J. B.'s tenant Brenda Fenwick is the only person who genuinely seems interested in their well-being.
When J. B. takes the boys and Amit to a party thrown by Popo, whom J. B. hopes to sign, things get worse when Amit gets drunk after mistakenly drinking a punch with alcohol and Rinku becomes sick from binge-eating, forcing an enraged J. B. to drive them home, and forfeit the deal with Popo, who signed with someone else. Brenda calms him down and makes him realize he is treating the two boys like a business deal. The next day, J. B. trades in his Porsche for a Dodge Caravan and joins the boys for their prayers. Ignoring J. B.'s pleas of the two boys' lack of readiness, Chang insists his terms be fulfilled and the boys demonstrate their baseball skills one year from the time they arrived in the US. ESPN, Sports Illustrated, and local media are joined by numerous major-league scouts to watch the boys pitch. The try-out is a complete disaster, as the pair is both very nervous and pitch without speed or control, failing to impress anyone.
Brenda convinces J. B. that the boys be given another try-out. Chang refused to go along with it, and no scouts are interested in wasting their time on another fiasco. All hope is lost until Ray arranges for J. B. to meet the Pittsburgh Pirates head scout who was away in Puerto Rico for the first try-out, and agrees to come. Chang changes his mind and sees the second try-out of Singh and Patel. This time, J. B. insists the boys relax and have fun. The scouts are quickly impressed as the pair consistently deliver 90+ mph fastballs thrown accurately, and both are offered a contract by the Pittsburgh Pirates."	American
League of Gods	2016	drama	Koan Hui	Jet Li, Fan Bingbing, Huang Xiaoming, Angelababy, Louis Koo, Wen Zhang, Jacky Heung, Tony Leung Ka-fai, Zu Feng, Andy On, Xu Qing, Jordan Chan	"During the reign of King Zhou (Tony Leung Ka-fai), an official enters his bedchamber, and is devoured by the monstrous tails of Daji (Fan Bingbing), his concubine. Outside their city, several warriors within a metal wagon discuss their strategies to free the Invisible People and their Chief, when Jiang Ziya (Jet Li) appears to them. He tells them that when King Zhou was younger, he let himself become possessed by the Black Dragon for his quest for power. Jiang Ziya later departs riding his crane.
Within the city, King Zhou and Daji hold a festival, and torture the chief of the Invisible People to foretell his future. The chief shows King Zhou a vision of himself pleading for mercy and disintegrating away, causing the King to order his guards to remove the chief's eyes. At the same time, the warriors sneak into a prison and fight several guards, where Leizhenzi (Jacky Heung), a member of the Wing Adept tribe, uses his powers to destroy the metal bars that seal the Invisible People, even though he was warned not to use them there. His powers attracts Shen Gong Bao's (Louis Koo) attention, and he rides on his black leopard to pursue them. Several of the Invisible People are then killed by more guards. Nonetheless, the warriors manage to escape with the Invisible Children, who use their powers to teleport to another location. To stop Shen Gong Bao from advancing any further, Leizhenzi destroys a wall and creates a barrier. As Leizhenzi and Ji Fa (Andy On) talk, he explains about his past in which his father was killed by an invading army that exterminated most of the Wing Adepts, and his father's wings were torn off his back.
Jiang Ziya arrives to interrupt the festival and stops time, allowing him to free the Invisible chief, and help the warriors and the Invisible Children to escape. As Jiang Ziya avoids Daji's tails, she casts a magic spell at him. To save him, the chief digs out one eye and throws it towards Daji to distract her, but he gets destroyed by her tails instead. Jiang Ziya escapes to his crane with one of the chief's eyes, while the other eye is obtained by Daji.
The warriors return to their capital. Leizhenzi tries to grow wings where King Ji Chang (Zu Feng) requests Jiang Ziya to use the chief's eye to find a way to defeat King Zhou and the Black Dragon. Jiang Ziya answers that it is by using a sword known as the ""Sword of Light"", which can only be used by the chosen hero ""Golden Dragon"", and that they must find the sword before the three suns converge, in which the Black Dragon will be released. But while doing so, Jiang Ziya becomes younger, as he warned that Daji cast a spell on him that reverses his age, and for each time he uses his magic the reverse-aging accelerates.
Leizhenzi volunteers to find the sword, and Jiang Ziya tells him that he must take three gifts from the Spring of Life with him. He also summons an egg from the well, out of which Ne Zha hatches and causes mischief. Leizhenzi and Ne Zha depart into a wasteland, where the first of Jiang Ziya's gifts, a one-eyed plant, gives Leizhenzi advice. Ne Zha plays with the plant, and the three are chased by an enormous centipede-like worm, which Leizhenzi kills. Ne Zha steals from Leizhenzi the second gift: a baby Dragon Prince whose growth was stunted by Ne Zha, and it subdues the quickly-grown Ne Zha (Wen Zhang) by breathing a gas on him, making him unconscious while turning him into an adult. Upon waking, Leizhenzi forces him to help him find the Sword of Light, while promising to him that he will help Ne Zha find his Fire Wheels.
Shen Gong Bao constructs and animates an automaton (Angelababy), and instructs her to find and kill Leizhenzi. Leizhenzi and Ne Zha stumble into a collection of pillars within a marsh, which turn into a palace in a desert, where a hermit (Huang Xiaoming) manipulates sand with magic.Irritated, the hermit attacks them, but is defeated. The hermit is revealed to be Erlang Shen. Leizhenji gives Erlang Shen the third of Jiang Ziya's gifts: his faithful dog Howling Celestial. Erlang Shen then leaves them to find his Golden Armor.
Leizhenzi and Ne Zha travel to a port, where the former encounters a beautiful woman who entertains children with glowing butterflies, whose name is Lan Die, in reality the automaton. Leizhenzi and Lan Die go find a sorceress Taiyi Zhenren, who uses his dreams to read into his mind. After being woken by the plant, Lan Die steals the artifact that they use as a ship to sail out of the port, and Ne Zha follows. That ship is supposed to sail to any location that its user desires. While in the ship, Ne Zha torments the baby Dragon Prince, who breathes gas on Ne Zha again to put him to sleep and reverting him back to a child. Lan Die and Leizhenzi admire the sunrise, but Shen Gong Bao takes her memories away, revealing her to be an automaton.
Leizhenzi wonders why is the ship going to the middle of the ocean, and the plant answers that it is because someone else, the baby dragon prince, has controlled the ship to return to his father's palace. As the Dragon Prince sings, the Dragon King of the East Sea (Waise Lee) hears him and orders his giant octopus to bring Ne Zha and his son back to him. While in the sea palace, Ne Zha demands the Dragon King to return his Fire Wheels to him. The Dragon King orders his guards to attack Ne Zha, but he defeats them by urinating and passing gas at them. The Dragon King gives Ne Zha the Fire Wheels, and is given the baby dragon prince in exchange. With the fire wheels, Ne Zha turns into an adult and flies away.
The ship is now able to fly to Leizhenzi's former home, which is now in ruins. He finds the Sword of Light, which is guarded by several rapidly-moving rings that surround its floating island. Shen Gong Bao arrives with a fleet of flying ships, and subdues Leizhenzi. In exchange for Leizhenzi's life, Lan Die overcomes the rapid rings, and retrieves the sword, but it inadvertently destroys the rings and blows Shen Gong Bao and his fleet away. Leizhenzi grows new wings and carries the dying Lan Die to see the sunset. She turns into a wooden mannequin, and he leaves her to rest at the sword's island, taking the sword with him. As he notices the suns beginning to converge, he hurries with Ne Zha and Erlang Shen (who has found his golden armor) back to the capital, which is now under siege by another fleet of King Zhou's flying ships. As Jiang Jiya struggles to use the city's defense system properly, Daji uses her magic again to revive Shen Gong Bao, which turns him into an invincible monster.
The three heroes return with the Sword of Light to find Jiang Ziya being reverted to a young boy. They fight Shen Gong Bao, who during the fight kills Ji Chang. With his dying breath, Ji Chang passes his command and the sword to his son, Ji Fa. Ji Fa rushes to the Spring of Life and dives in to charge the sword. As the heroes draw Shen Gong Bao into the Spring of Life, Ji Fa emerges as the ""Golden Dragon"" with his charged sword and new golden armor, and kills the monster.
The movie ends with Ji Fa mobilizing his forces for a counter attack and flies his fortress towards the Shang kingdom, while King Zhou turns into the Black Dragon awaiting for the heroes to attack, with a baby Jiang Ziya in their possession."	Chinese
